(0x6dd7d, 0x6e000)
(0x5f313, 0x5f3a8)
(0x4e86f, 0x4e8eb)
(0x4edc3, 0x4ee53)
(0x5e5b0, 0x5e5e0)
(0x4ee53, 0x4eec1)
(0x5621f, 0x56226)
(0x7235c, 0x723f2)
(0x74bbc, 0x74c52)
(0x63bfb, 0x64000)
(0x5e243, 0x5e296)
(0x4eec1, 0x4eef1)
(0x56496, 0x564e8)
(0x548e7, 0x54ade)
(0x560f2, 0x5613a)
(0x6424d, 0x642c3)
(0x3292e, 0x3293d)
(0x63288, 0x63bfb)
(0x41bfe, 0x41c4e)
(0x551f4, 0x5521e)
(0x2408b, 0x2411c)
(0x4f378, 0x4f818)
(0x64000, 0x64107)
(0x40e79, 0x40efa)
(0x57193, 0x5721a)
(0x5174b, 0x5178b)
(0x55000, 0x55058)
(0x59a83, 0x59bbb)
(0x53dd9, 0x53e20)
(0x53b1e, 0x53bfe)
(0x56790, 0x56793)
(0x5521e, 0x55232)
(0x580bb, 0x5823a)
(0x642c3, 0x64341)
(0x53d1a, 0x53d26)
(0x5fbf9, 0x5fcbd)
(0x4f90b, 0x4fbe2)
(0x562bf, 0x56364)
(0x55da2, 0x55e3c)
(0x641ef, 0x6424d)
(0x57000, 0x5715d)
(0x565e8, 0x56701)
(0x5d752, 0x5d83a)
(0x4e7ab, 0x4e86f)
(0x5a481, 0x5a504)
(0x58842, 0x58ec2)
(0x56828, 0x5683d)
(0x561eb, 0x56204)
(0x56364, 0x56496)
(0x5e1d8, 0x5e243)
(0x69ad3, 0x69b03)
(0x4eb0b, 0x4ebab)
(0x54ade, 0x54bfe)
(0x5683d, 0x56875)
(0x4f20f, 0x4f26c)
(0x54ce7, 0x54eec)
(0x54bfe, 0x54c1a)
(0x56ad6, 0x56afe)
(0x5a504, 0x5a50e)
(0x251b7, 0x2536e)
(0x55684, 0x5577d)
(0x5a280, 0x5a295)
(0x53e20, 0x53e5d)
(0x6fb82, 0x6fc8f)
(0x4fd03, 0x4fd19)
(0x5e614, 0x5e6bf)
(0x5a175, 0x5a1bb)
(0x1f0ee, 0x1f16e)
(0x4fe23, 0x4ff03)
(0x5a295, 0x5a2c7)
(0x43cc0, 0x43cdc)
(0x568d5, 0x56915)
(0x5482b, 0x5485b)
(0x608dc, 0x609f3)
(0x56793, 0x567df)
(0x64341, 0x64347)
(0x572cb, 0x572d3)
(0x4bcc2, 0x4bcce)
(0x54720, 0x547de)
(0x5f9de, 0x5fa5f)
(0x59bbb, 0x59bda)
(0x5e0c8, 0x5e18d)
(0x6a000, 0x6a062)
(0x58507, 0x58547)
(0x71c12, 0x71c2b)
(0x567df, 0x56828)
(0x5b000, 0x5be38)
(0x500c4, 0x50224)
(0x4ebab, 0x4ec3a)
(0x67058, 0x67618)
(0x511a9, 0x51235)
(0x5512b, 0x55137)
(0x597d3, 0x598e4)
(0x3635a, 0x3636a)
(0x57243, 0x5724a)
(0x572d3, 0x57306)
(0x5facf, 0x5fbf9)
(0x5577d, 0x55786)
(0x1f000, 0x1f064)
(0x5bfef, 0x5c000)
(0x4f818, 0x4f90b)
(0x54f15, 0x55000)
(0x27458, 0x274c6)
(0x5a2c7, 0x5a2dc)
(0x76060, 0x76088)
(0x60bc9, 0x60bf1)
(0x716fd, 0x7173d)
(0x58029, 0x580bb)
(0x5f193, 0x5f259)
(0x5d000, 0x5d586)
(0x5a2dc, 0x5a3c6)
(0x54c6f, 0x54ce7)
(0x40efa, 0x40f60)
(0x4e000, 0x4e5a0)
(0x5e5e0, 0x5e614)
(0x2835e, 0x2835f)
(0x57162, 0x5717a)
(0x564e8, 0x56569)
(0x5e06a, 0x5e0c8)
(0x4d73f, 0x4d78b)
(0x776e5, 0x7786c)
(0x4eef1, 0x4ef53)
(0x5f0f6, 0x5f193)
(0x21000, 0x2127f)
(0x4e8eb, 0x4eb0b)
(0x55bce, 0x55d82)
(0x4e5a0, 0x4e5cb)
(0x754d7, 0x754e9)
(0x53c44, 0x53d04)
(0x569f8, 0x56a69)
(0x5823a, 0x582c3)
(0x6e000, 0x6e824)
(0x70b52, 0x70b70)
(0x6273c, 0x627ec)
(0x5f000, 0x5f0f6)
(0x5d6b3, 0x5d752)
(0x50000, 0x500c4)
(0x2128c, 0x21290)
(0x3c112, 0x3c1a7)
(0x553b2, 0x5562d)
(0x5578d, 0x55bce)
(0x64b9f, 0x64c05)
(0x5225a, 0x53000)
(0x5e050, 0x5e06a)
(0x56767, 0x56790)
(0x5d586, 0x5d6b3)
(0x2a5d5, 0x2aece)
(0x2127f, 0x21287)
(0x5715d, 0x57162)
(0x22087, 0x22129)
(0x56588, 0x565bd)
(0x42dc0, 0x42de0)
(0x4fd4d, 0x4fddd)
(0x4fddd, 0x4fe15)
(0x52000, 0x5202a)
(0x7488f, 0x7489e)
(0x5e1d1, 0x5e1d8)
(0x585b7, 0x5863d)
(0x404e5, 0x404f9)
(0x59f3b, 0x59fcd)
(0x69b03, 0x69b23)
(0x54583, 0x546ab)
(0x274de, 0x27617)
(0x2a119, 0x2a234)
(0x1f064, 0x1f0ee)
(0x569af, 0x569f8)
(0x25000, 0x251b7)
(0x21287, 0x2128c)
(0x28308, 0x28352)
(0x3e539, 0x3e53e)
(0x5e18d, 0x5e1d1)
(0x3757f, 0x375e3)
(0x5202a, 0x5225a)
(0x5178b, 0x5184b)
(0x5fa5f, 0x5facf)
(0x64107, 0x64137)
(0x5717a, 0x57193)
(0x4fcc5, 0x4fd03)
(0x5e6bf, 0x5e6ec)
(0x281a4, 0x28308)
(0x67f10, 0x67f82)
(0x53ace, 0x53aee)
(0x6dbf1, 0x6dc05)
(0x63000, 0x63001)
(0x56d7d, 0x57000)
(0x54000, 0x54015)
(0x5613a, 0x56152)
(0x56a69, 0x56a79)
(0x57398, 0x5741b)
(0x5dd4c, 0x5de7a)
(0x3dfb6, 0x3dfc8)
(0x35558, 0x355cc)
(0x4b31e, 0x4b39e)
(0x546ab, 0x546ce)
(0x54015, 0x544cf)
(0x56875, 0x56888)
(0x68b24, 0x68ba5)
(0x5485b, 0x548a5)
(0x56995, 0x569af)
(0x5f56c, 0x5f9de)
(0x66249, 0x6628e)
(0x64146, 0x641bf)
(0x630f1, 0x631e8)
(0x2a234, 0x2a2a5)
(0x76088, 0x760ca)
(0x28168, 0x281a4)
(0x56000, 0x5604f)
(0x4fd19, 0x4fd4d)
(0x6070b, 0x6071b)
(0x5a3cb, 0x5a481)
(0x68788, 0x68878)
(0x627ec, 0x627fc)
(0x56569, 0x56588)
(0x59a43, 0x59a83)
(0x53d99, 0x53dd9)
(0x53bfe, 0x53c44)
(0x57251, 0x57254)
(0x5a005, 0x5a02d)
(0x754c8, 0x754d7)
(0x35298, 0x352aa)
(0x54eec, 0x54f15)
(0x626bf, 0x6273c)
(0x55649, 0x55684)
(0x56a79, 0x56aab)
(0x56765, 0x56767)
(0x5863d, 0x58842)
(0x58000, 0x58029)
(0x4ef65, 0x4f000)
(0x56915, 0x56995)
(0x55058, 0x55060)
(0x56226, 0x562bf)
(0x4f26c, 0x4f378)
(0x3db4e, 0x3dbd6)
(0x4d716, 0x4d73c)
(0x59c8b, 0x59f3b)
(0x27317, 0x27360)
(0x56204, 0x5621f)
(0x53d26, 0x53d99)
(0x7786c, 0x7787b)
(0x58547, 0x585b7)
(0x56152, 0x56184)
(0x69b23, 0x69b6b)
(0x565bd, 0x565e8)
(0x5a3c6, 0x5a3cb)
(0x53d04, 0x53d1a)
(0x66769, 0x67000)
(0x582c3, 0x584fa)
(0x43469, 0x434ea)
(0x4b628, 0x4b6bb)
(0x77a53, 0x77af3)
(0x50224, 0x5029d)
(0x5738e, 0x57398)
(0x689c3, 0x689d3)
(0x5e296, 0x5e593)
(0x6071b, 0x6079c)
(0x504bd, 0x5057d)
(0x5a000, 0x5a005)
(0x55232, 0x553b2)
(0x58ec2, 0x58ece)
(0x55786, 0x5578d)
(0x544cf, 0x54583)
(0x55060, 0x5512b)
(0x6fb0b, 0x6fb1a)
(0x51235, 0x51249)
(0x2af1f, 0x2af2f)
(0x56aab, 0x56ad6)
(0x5d83a, 0x5dd4c)
(0x5a135, 0x5a175)
(0x28352, 0x2835e)
(0x4ed35, 0x4edc3)
(0x4ff03, 0x50000)
(0x41ddf, 0x41de4)
(0x64b32, 0x64b9f)
(0x617d1, 0x617e0)
(0x57306, 0x5738e)
(0x2c30b, 0x2c313)
(0x5604f, 0x560f2)
