(0x400fc0a0, 0x400fc15d)
(0x400e9ef2, 0x400e9efa)
(0x40105790, 0x40105814)
(0x4008789e, 0x400878ca)
(0x4002cd3c, 0x4002cde6)
(0x400d8db8, 0x400d8fb7)
(0x40075fae, 0x40076005)
(0x400c7438, 0x400c748c)
(0x400d7a18, 0x400d7cbe)
(0x40025078, 0x400250d9)
(0x400ef888, 0x400ef9e2)
(0x400fbd14, 0x400fbd6d)
(0x400cdc1a, 0x400cde61)
(0x4010404c, 0x4010414f)
(0x400d4e14, 0x400d4eff)
(0x40078e82, 0x40078eac)
(0x400e6824, 0x400e6836)
(0x400c3786, 0x400c3828)
(0x400eff8c, 0x400f02b6)
(0x400f4896, 0x400f48d7)
(0x400a31aa, 0x400a34a4)
(0x400e3c20, 0x400e3ff7)
(0x400fa3fe, 0x400fa46b)
(0x400efe4a, 0x400eff76)
(0x4009e29a, 0x4009e2a2)
(0x400457e2, 0x400458ba)
(0x40046c12, 0x40046cfc)
(0x400f93e0, 0x400f93fe)
(0x400e77fe, 0x400e7917)
(0x400e36aa, 0x400e36ac)
(0x400042a2, 0x400042bd)
(0x400e43b4, 0x400e47a5)
(0x400fa46c, 0x400fa795)
(0x40008778, 0x4000a883)
(0x400221ce, 0x40022480)
(0x400f8916, 0x400f8af1)
(0x400dde12, 0x400de949)
(0x400dc5ae, 0x400dc624)
(0x4007a1bc, 0x4007a1d9)
(0x400de94a, 0x400dedcf)
(0x400730e2, 0x40073167)
(0x400ed898, 0x400ee395)
(0x400e626a, 0x400e62bc)
(0x400f0b10, 0x400f0d79)
(0x400e9efa, 0x400ea70c)
(0x40124e98, 0x40124f74)
(0x40096cb8, 0x40096cbd)
(0x400d497a, 0x400d4a55)
(0x40116820, 0x4011690e)
(0x400f0f22, 0x400f0f34)
(0x400b5db2, 0x400b5dd6)
(0x4002495a, 0x40024b16)
(0x400b51c8, 0x400b5671)
(0x400831dc, 0x4008322b)
(0x40126fb0, 0x40126fda)
(0x4010d84c, 0x4010d8db)
(0x4009e0f2, 0x4009e132)
(0x40069644, 0x4006970f)
(0x400a34a4, 0x400a366a)
(0x400cde62, 0x400cdf9a)
(0x40087a34, 0x40087a4d)
(0x400da08c, 0x400da1c7)
(0x400a67ac, 0x400a6805)
(0x400ce446, 0x400ce458)
(0x400f8ba2, 0x400f8c81)
(0x400b8710, 0x400b87e8)
(0x4007b032, 0x4007d258)
(0x4003ef56, 0x4003effd)
(0x400d8192, 0x400d81ec)
(0x400d4a56, 0x400d4a5e)
(0x400072c0, 0x4000735c)
(0x40045738, 0x40045775)
(0x40126000, 0x401262e6)
(0x400d9480, 0x400d974d)
(0x4003cb08, 0x4003cb75)
(0x400e1c7c, 0x400e20cb)
(0x400e21d0, 0x400e3505)
(0x40069862, 0x400698f3)
(0x40088a9e, 0x40088b33)
(0x401281ca, 0x40128424)
(0x40117000, 0x40117223)
(0x4009d000, 0x4009d08a)
(0x400d77e8, 0x400d7a17)
(0x400df5cc, 0x400df694)
(0x4004223c, 0x400422d8)
(0x400335e0, 0x400337fa)
(0x400b7c24, 0x400b7cd9)
(0x400f0d7a, 0x400f0e22)
(0x400e5134, 0x400e5149)
(0x4003cb76, 0x4003cc30)
(0x40085894, 0x4008589c)
(0x401058c0, 0x40105944)
(0x400f4e1c, 0x400f7b06)
(0x40028300, 0x4002835f)
(0x400dc624, 0x400dd113)
(0x4007f000, 0x4007f054)
(0x400fc278, 0x400fc412)
(0x40005000, 0x400050ad)
(0x400e0a6a, 0x400e0a75)
(0x400d4b32, 0x400d4b35)
(0x40123cb0, 0x40123cfc)
(0x400b7a30, 0x400b7a40)
(0x400f4cda, 0x400f4ce4)
(0x40062c08, 0x40062c72)
(0x4003e1e6, 0x4003e2e6)
(0x4009e8b0, 0x4009e93b)
(0x400b7138, 0x400b716a)
(0x4010446e, 0x40104470)
(0x400b80a4, 0x400b811d)
(0x400b71c8, 0x400b727c)
(0x401056cc, 0x40105790)
(0x400b5672, 0x400b5792)
(0x400b88ea, 0x400b8904)
(0x400fbb30, 0x400fbb4e)
(0x40088746, 0x40088a9d)
(0x400e19b4, 0x400e1a8f)
(0x40042318, 0x40042342)
(0x40123d1e, 0x40123d28)
(0x400ddb52, 0x400ddbff)
(0x400f98b4, 0x400f994b)
(0x4007ec3a, 0x4007ec5b)
(0x4007f3f0, 0x4007f558)
(0x40102604, 0x4010262b)
(0x400b7116, 0x400b7138)
(0x40008406, 0x40008465)
(0x400d4a5e, 0x400d4b1f)
(0x400cc000, 0x400cc05c)
(0x400df8e8, 0x400df9f6)
(0x400c6184, 0x400c61e2)
(0x400f1096, 0x400f10ed)
(0x400f8462, 0x400f84f9)
(0x400c9950, 0x400c9c43)
(0x400d8d62, 0x400d8db7)
(0x4001428c, 0x4001447e)
(0x400da948, 0x400dc529)
(0x400014dc, 0x40001575)
(0x400f0ec4, 0x400f0f21)
(0x400d4f00, 0x400d4fce)
(0x400c977e, 0x400c97d6)
(0x400e112a, 0x400e16ce)
(0x400a91a2, 0x400a9265)
(0x400fa168, 0x400fa1b8)
(0x4000ce0e, 0x4000ce7b)
(0x400ef48e, 0x400ef887)
(0x400fb164, 0x400fb24d)
(0x401045da, 0x40104e2a)
(0x400ef9e2, 0x400efb59)
(0x4009d8de, 0x4009d8ff)
(0x40086c3c, 0x40086d63)
(0x400caafc, 0x400cab55)
(0x400e7ef0, 0x400e849c)
(0x400e1a90, 0x400e1a96)
(0x400ce2c8, 0x400ce359)
(0x40039996, 0x400399a6)
(0x400ce0f6, 0x400ce2c7)
(0x400730d0, 0x400730e1)
(0x401175ca, 0x4011760b)
(0x40090000, 0x4009045d)
(0x40100464, 0x401004d6)
(0x400425a4, 0x4004268c)
(0x400e35c4, 0x400e35f3)
(0x400b70b0, 0x400b7115)
(0x4008330c, 0x4008331c)
(0x400e912c, 0x400e91a7)
(0x4006bce2, 0x4006bcf9)
(0x400ceb7c, 0x400ceb9a)
(0x400e0ae0, 0x400e0f5e)
(0x400c4b1c, 0x400c4b6c)
(0x400ea70c, 0x400ea86b)
(0x400f9e10, 0x400f9e1f)
(0x400da710, 0x400da948)
(0x400f994c, 0x400f9a34)
(0x400da24c, 0x400da32d)
(0x40021e64, 0x40021e85)
(0x400c9fee, 0x400c9fff)
(0x40069ca6, 0x40069cfc)
(0x40127904, 0x40127d04)
(0x4007f054, 0x4007f0b5)
(0x400f4a3c, 0x400f4cda)
(0x400a5198, 0x400a535d)
(0x4009d152, 0x4009d1c8)
(0x400c39bc, 0x400c39cb)
(0x400f84fa, 0x400f859e)
(0x400c2158, 0x400c2187)
(0x400f8fa2, 0x400f9017)
(0x4009045e, 0x4009075d)
(0x400ce8d6, 0x400ce95f)
(0x400f7c92, 0x400f7f67)
(0x400130a4, 0x40013184)
(0x4012364c, 0x40123856)
(0x4002049c, 0x40020743)
(0x400f48d8, 0x400f4a3b)
(0x40036000, 0x400362e2)
(0x400b716a, 0x400b71c7)
(0x400e57b8, 0x400e57c3)
(0x40086d64, 0x40086d88)
(0x400f8dae, 0x400f8f2f)
(0x40002d04, 0x40002d4d)
(0x400907be, 0x400929c5)
(0x40104fd8, 0x40105021)
(0x40073168, 0x400731fe)
(0x400b7a40, 0x400b7a4c)
(0x400d8d26, 0x400d8d62)
(0x400c96b2, 0x400c9751)
(0x4002cad8, 0x4002cd3b)
(0x400549d4, 0x40054a2c)
(0x400da6aa, 0x400da710)
(0x400cf21a, 0x400cf269)
(0x400e84ba, 0x400e86ed)
(0x401058ae, 0x401058bf)
(0x400207fc, 0x40020828)
(0x400eadaa, 0x400eaf0b)
(0x400cd754, 0x400cd87f)
(0x400d4b20, 0x400d4b32)
(0x40078b8e, 0x40078d2a)
(0x4004e986, 0x4004ea1f)
(0x400e7eb4, 0x400e7eef)
(0x400cdf9a, 0x400ce0f6)
(0x40075efa, 0x40075f1b)
(0x4010416a, 0x4010446e)
(0x4008e812, 0x4008e824)
(0x400a9144, 0x400a91a2)
(0x4007e2c2, 0x4007e2d2)
(0x400d86fe, 0x400d8bde)
(0x400d45aa, 0x400d46fc)
(0x400dda20, 0x400dda37)
(0x400ccdaa, 0x400ccea4)
(0x40079e5a, 0x40079ec8)
(0x400fa0e8, 0x400fa167)
(0x400e502c, 0x400e5130)
(0x4007f29c, 0x4007f309)
(0x4008e1ea, 0x4008e214)
(0x40096784, 0x400967e4)
(0x400f0e22, 0x400f0e85)
(0x40000d14, 0x40000f13)
(0x400e90ce, 0x400e912b)
(0x400df9f6, 0x400dfd5a)
(0x400cecf0, 0x400cee2e)
(0x400853e8, 0x40085414)
(0x40079ec8, 0x40079f85)
(0x40104ec0, 0x40104fbe)
(0x400cc05c, 0x400cc093)
(0x401051b2, 0x40105422)
(0x400f9018, 0x400f93df)
(0x4007f30a, 0x4007f377)
(0x400d4bda, 0x400d4c6e)
(0x400b7322, 0x400b737e)
(0x40085336, 0x400853c5)
(0x4000ea72, 0x4000eaec)
(0x4007f138, 0x4007f197)
(0x4004f74a, 0x4004f759)
(0x400b7e5a, 0x400b7e83)
(0x400a3000, 0x400a30c6)
(0x400e0a60, 0x400e0a6a)
(0x4002d446, 0x4002d4dd)
(0x40104fbe, 0x40104fd7)
(0x4003d7c4, 0x4003d7fe)
(0x4007f378, 0x4007f3d7)
(0x400e8e28, 0x400e8f2b)
(0x401256ba, 0x401256db)
(0x400f9e20, 0x400fa0c2)
(0x400fa838, 0x400fa89c)
(0x400dc568, 0x400dc5ad)
(0x40105894, 0x401058ae)
(0x400b7e38, 0x400b7e5a)
(0x400c4062, 0x400c465e)
(0x400b7ec8, 0x400b8030)
(0x4000b000, 0x4000b330)
(0x4008e214, 0x4008e336)
(0x400caaa6, 0x400caafc)
(0x40104150, 0x40104169)
(0x4000cc76, 0x4000cc7d)
(0x4007944a, 0x4007948b)
(0x400ee67c, 0x400eec29)
(0x400b5062, 0x400b5083)
(0x4007856e, 0x400788d6)
(0x400d7516, 0x400d75ee)
(0x400e9e02, 0x400e9e05)
(0x400b7e16, 0x400b7e38)
(0x40087a10, 0x40087a33)
(0x400b836a, 0x400b83b3)
(0x400b7ea6, 0x400b7ec8)
(0x400e4ef2, 0x400e4f07)
(0x400f4304, 0x400f440e)
(0x4011b324, 0x4011b34e)
(0x4004ea6a, 0x4004eac1)
(0x400b7d64, 0x400b7dd9)
(0x400f0eba, 0x400f0ec4)
(0x400eaf1e, 0x400eaffa)
(0x40045684, 0x400456b9)
(0x400b7df4, 0x400b7e16)
(0x400b7e84, 0x400b7ea6)
(0x40025db2, 0x40025dd3)
(0x400d5d20, 0x400d6590)
(0x400d974e, 0x400d9798)
(0x4007aa98, 0x4007ab7d)
(0x40129082, 0x40129144)
(0x400b7d42, 0x400b7d64)
(0x400c3000, 0x400c3218)
(0x400dd932, 0x400dd9f9)
(0x40023bc6, 0x40023bd6)
(0x400c9752, 0x400c9758)
(0x40020c40, 0x40020ce0)
(0x400d9ad0, 0x400d9c38)
(0x400e41a4, 0x400e4379)
(0x4003a000, 0x4003b439)
(0x4002d4de, 0x4002d7d2)
(0x400d46fc, 0x400d4979)
(0x40053d48, 0x40053f82)
(0x400d449a, 0x400d45a9)
(0x400261a2, 0x400261e1)
(0x400a5000, 0x400a5062)
(0x400dedd0, 0x400df3ec)
(0x400618f6, 0x40061923)
(0x400eaffa, 0x400eb000)
(0x4006febc, 0x4006ff39)
(0x400e62bc, 0x400e62cc)
(0x400fc082, 0x400fc0a0)
(0x400f4590, 0x400f460e)
(0x4011b34e, 0x4011b3f6)
(0x40036c24, 0x40036c4c)
(0x400e0904, 0x400e09ef)
(0x4003e7a6, 0x4003e7aa)
(0x40073a0a, 0x40073a6b)
(0x4010976c, 0x40109a36)
(0x400fbcde, 0x400fbd14)
(0x40025626, 0x40025635)
(0x400fbd6e, 0x400fc082)
(0x400c7814, 0x400c78b8)
(0x40078988, 0x400789e1)
(0x400878d6, 0x40087900)
(0x40083782, 0x400837a3)
(0x40078000, 0x40078195)
(0x400d6590, 0x400d7500)
(0x40087966, 0x400879a8)
(0x400c977c, 0x400c977e)
(0x40088b34, 0x40088b74)
(0x40127d0c, 0x40127f4c)
(0x400072a4, 0x400072bf)
(0x400fc15e, 0x400fc277)
(0x40127f4c, 0x40127fc9)
(0x400b7dda, 0x400b7df3)
(0x4010264e, 0x4010279d)
(0x400879d4, 0x40087a10)
(0x400f02b6, 0x400f0994)
(0x400efb90, 0x400efc3f)
(0x40086c18, 0x40086c3c)
(0x400b7ac6, 0x400b7b88)
(0x40105814, 0x40105893)
(0x400e9e34, 0x400e9eb9)
(0x400dda38, 0x400ddb52)
(0x40002fca, 0x40002feb)
(0x4003e1ca, 0x4003e1d2)
(0x400fa796, 0x400fa838)
(0x401230aa, 0x401230ad)
(0x400dd140, 0x400dd5f8)
(0x40127752, 0x401277ee)
(0x40087900, 0x40087929)
(0x400c4baa, 0x400c4ff1)
(0x400b737e, 0x400b73b7)
(0x400d7788, 0x400d77e7)
(0x400cd1d4, 0x400cd257)
(0x400fae9a, 0x400fb164)
(0x4003e1a8, 0x4003e1c9)
(0x400d922c, 0x400d93d0)
(0x400c9492, 0x400c94ed)
(0x400e7620, 0x400e7628)
(0x400e0f5e, 0x400e1129)
(0x40000000, 0x4000008f)
(0x40125110, 0x40125120)
(0x4006984e, 0x40069861)
(0x400e4004, 0x400e4019)
(0x40000090, 0x400000aa)
(0x400e1a96, 0x400e1c76)
(0x400eaf0c, 0x400eaf1e)
(0x40061898, 0x400618f6)
(0x4006b000, 0x4006bce1)
(0x400d81ec, 0x400d8527)
(0x40020ce0, 0x40020fc7)
(0x400587a4, 0x400587ad)
(0x400a5152, 0x400a5173)
(0x400ef2a0, 0x400ef2a8)
(0x4000149e, 0x400014db)
(0x40007e52, 0x40007e9e)
(0x400f0e86, 0x400f0eba)
(0x4008792a, 0x40087966)
(0x400d813a, 0x400d8192)
(0x400c7000, 0x400c7323)
(0x400d18a6, 0x400d19db)
(0x400ab0cc, 0x400b2750)
(0x40126f14, 0x40126fb0)
(0x400e62cc, 0x400e63b7)
(0x400d9ed0, 0x400da08c)
(0x400c465e, 0x400c4733)
(0x400b7aac, 0x400b7ac6)
(0x400b84c4, 0x400b85b7)
(0x400a366a, 0x400a3822)
(0x400f93fe, 0x400f94b6)
(0x400d4cce, 0x400d4e14)
(0x400f951e, 0x400f95ee)
(0x400e19a0, 0x400e19b4)
(0x400ce43a, 0x400ce445)
(0x400df694, 0x400df8e8)
(0x40105022, 0x401051b2)
(0x400b7a8a, 0x400b7aac)
(0x400c4b90, 0x400c4ba9)
(0x400f460e, 0x400f47ef)
(0x40126b4e, 0x40126f13)
(0x400fa89c, 0x400fa8a4)
(0x40020000, 0x4002049b)
(0x400e7628, 0x400e77fd)
(0x4009dabe, 0x4009dada)
(0x401006f6, 0x40100780)
(0x400b72b2, 0x400b72d9)
(0x400e514a, 0x400e5278)
(0x401262e6, 0x40126977)
(0x400e35f4, 0x400e3667)
(0x400b7b88, 0x400b7beb)
(0x4007a67c, 0x4007a6d3)
(0x400e09f0, 0x400e0a60)
(0x400da32e, 0x400da381)
(0x400f7f68, 0x400f8462)
(0x4000cc28, 0x4000cc4c)
(0x400ef2a8, 0x400ef2d9)
(0x400cefbe, 0x400cf219)
(0x400fbab6, 0x400fbb2f)
(0x4008e668, 0x4008e6cc)
(0x400a4982, 0x400a4997)
(0x4003694a, 0x40036996)
(0x400cab56, 0x400cab95)
(0x400fb24e, 0x400fbab5)
(0x4004f000, 0x4004f082)
(0x400421ec, 0x4004223c)
(0x4010dbca, 0x4010dc11)
(0x400e91a8, 0x400e9a74)
(0x4008367a, 0x400836d8)
(0x4003f2f6, 0x4003f358)
(0x400a3822, 0x400a39cf)
(0x4007a294, 0x4007a2af)
(0x40040000, 0x40041849)
(0x400d7e9c, 0x400d813a)
(0x4002ce1c, 0x4002ce4d)
(0x400fa8a4, 0x400fa9b0)
(0x400ab000, 0x400ab062)
(0x4012396e, 0x401239d3)
(0x4009075e, 0x400907bd)
(0x4000345a, 0x400036f2)
(0x4004f652, 0x4004f676)
(0x400d947c, 0x400d947f)
(0x400c9e08, 0x400c9e93)
(0x40125120, 0x401252c0)
(0x400d8fb8, 0x400d922b)
(0x400878cc, 0x400878d5)
(0x40116000, 0x401160b2)
(0x40036996, 0x400369c8)
(0x400f111a, 0x400f13e0)
(0x400a93f8, 0x400a9423)
(0x400e4134, 0x400e41a4)
(0x400e371c, 0x400e3920)
(0x4007e0b2, 0x4007e167)
(0x400c59a0, 0x400c59c1)
(0x40020b1e, 0x40020ba4)
(0x400e5130, 0x400e5133)
(0x400d97dc, 0x400d991b)
(0x400b73b8, 0x400b740c)
(0x400b87e8, 0x400b88af)
(0x4012781c, 0x401278b9)
(0x400c6306, 0x400c649b)
(0x400ed7ea, 0x400ed897)
(0x401163f0, 0x40116564)
(0x400b83b4, 0x400b83f6)
(0x400f150a, 0x400f4303)
(0x400fbb4e, 0x400fbb7d)
(0x400b7306, 0x400b7321)
(0x4008d3f0, 0x4008d452)
(0x400e7cf0, 0x400e7eb3)
(0x400ddc00, 0x400dde12)
(0x4002879e, 0x4002a99f)
(0x400e393a, 0x400e3a48)
(0x400879a8, 0x400879d3)
(0x400c2482, 0x400c24c6)
(0x400e3506, 0x400e3596)
(0x400e9eba, 0x400e9ef2)
(0x40039100, 0x40039197)
(0x400da382, 0x400da532)
(0x400e3596, 0x400e35c3)
(0x400f47f0, 0x400f4895)
(0x400d9798, 0x400d97db)
(0x400eff76, 0x400eff8c)
(0x40013630, 0x40013639)
(0x400da532, 0x400da69c)
(0x400fa3e8, 0x400fa3fe)
(0x400e8f2c, 0x400e904a)
(0x400a535e, 0x400a5575)
(0x4002d1a6, 0x4002d1b7)
(0x400b7cda, 0x400b7d41)
(0x400dd114, 0x400dd140)
(0x4008322c, 0x4008323e)
(0x400ef2da, 0x400ef48e)
(0x4004f226, 0x4004f2bd)
(0x400dc52a, 0x400dc567)
(0x400e63b8, 0x400e6824)
(0x400f8ca4, 0x400f8dae)
(0x40003874, 0x400038d6)
(0x40109c9c, 0x40109cbd)
(0x40114f5a, 0x40114fef)
(0x40105422, 0x401056cc)
(0x400efc40, 0x400efe49)
(0x4007f0b6, 0x4007f137)
(0x400c9758, 0x400c977b)
(0x400f8c82, 0x400f8ca4)
(0x400c97e8, 0x400c98c2)
(0x400ea86c, 0x400ea8c0)
(0x40054646, 0x4005467e)
(0x400ceb9a, 0x400cecf0)
(0x400d4b36, 0x400d4bda)
(0x40003710, 0x40003809)
(0x400e3a84, 0x400e3b3d)
(0x40036c4c, 0x40036c8e)
(0x400ce7f6, 0x400ce8d5)
(0x4002ce4e, 0x4002cf22)
(0x400eb000, 0x400eb096)
(0x400c754a, 0x400c756b)
(0x400155c2, 0x400155e3)
(0x40023fbc, 0x40023ff7)
(0x4007371e, 0x400737f8)
(0x400e86ee, 0x400e8e27)
(0x400f8f30, 0x400f8f72)
(0x400e3920, 0x400e393a)
(0x401037d6, 0x4010384e)
(0x400b740c, 0x400b78a3)
(0x400881d4, 0x40088220)
(0x400cc094, 0x400ccb6e)
(0x400155a0, 0x400155c1)
(0x400b79f0, 0x400b7a30)
(0x400b8498, 0x400b84c3)
(0x400c4752, 0x400c4764)
(0x400b85b8, 0x400b85ea)
(0x400fa3ce, 0x400fa3e7)
(0x40061948, 0x40061b41)
(0x40129000, 0x40129082)
(0x400e47b8, 0x400e4ef1)
(0x400e3b3e, 0x400e3b46)
(0x40100f32, 0x40100f42)
(0x40013392, 0x400134a5)
(0x400e9dcc, 0x400e9df5)
(0x400eec2a, 0x400ef29f)
(0x40088220, 0x400882a9)
(0x400e0a76, 0x400e0ae0)
(0x400c96ae, 0x400c96b1)
(0x40024106, 0x4002410c)
(0x40058c44, 0x40058c76)
(0x400b7bec, 0x400b7c24)
(0x400fa1b8, 0x400fa35e)
(0x400e16ce, 0x400e19a0)
(0x4000e460, 0x4000e472)
(0x400c3660, 0x400c366c)
(0x40008000, 0x40008405)
(0x40087614, 0x4008761d)
(0x400424d4, 0x400424f2)
(0x400b811e, 0x400b836a)
(0x4000e43e, 0x4000e45f)
(0x400ea8c0, 0x400eada9)
(0x400e3a48, 0x400e3a84)
(0x400d8528, 0x400d857c)
(0x400e9a74, 0x400e9dcc)
(0x4000e7c0, 0x4000e7fa)
(0x400e4f08, 0x400e502c)
(0x4002616c, 0x40026198)
(0x400e9df6, 0x400e9e01)
(0x4007f208, 0x4007f29c)
(0x400dd9fa, 0x400dda1f)
(0x40104002, 0x4010404b)
(0x400ca786, 0x400ca78e)
(0x400d5ca6, 0x400d5d1f)
(0x400e7918, 0x400e7cef)
(0x400cee2e, 0x400cef2c)
(0x4000fec0, 0x4000ff81)
(0x400e3b46, 0x400e3bcc)
(0x400ccea4, 0x400cd1d4)
(0x400c2db4, 0x400c2e9e)
(0x40058e40, 0x40058f75)
(0x400fa0c2, 0x400fa0e8)
(0x400fab6a, 0x400fae9a)
(0x400df3ec, 0x400df5cb)
(0x401045c4, 0x401045d9)
(0x40020ba4, 0x40020c3f)
(0x400f10ee, 0x400f111a)
(0x400cef2c, 0x400cefbd)
(0x400f13e0, 0x400f150a)
(0x40028000, 0x400282ff)
(0x400a93cc, 0x400a93f7)
(0x4007a658, 0x4007a67c)
(0x400f94b6, 0x400f951d)
(0x40069ea6, 0x40069ed8)
(0x40045776, 0x400457e2)
(0x40006eca, 0x40006f63)
(0x400ccb6e, 0x400ccc4a)
(0x400da1c8, 0x400da1d0)
(0x400e849c, 0x400e84ba)
(0x400c5e16, 0x400c5e86)
(0x400efb5a, 0x400efb8f)
(0x4000b430, 0x4000b43c)
(0x400b85ea, 0x400b870f)
(0x400e20cc, 0x400e21cf)
(0x40028360, 0x4002879d)
(0x400b72da, 0x400b7306)
(0x40116ac8, 0x40116ba4)
(0x400e36ac, 0x400e371c)
(0x400542fe, 0x400545c7)
(0x400cf26a, 0x400cf32b)
(0x400a39d0, 0x400a3b4c)
(0x400b83f6, 0x400b8498)
(0x400e1c76, 0x400e1c7c)
(0x40079dac, 0x40079e5a)
(0x400d50c4, 0x400d5ca6)
(0x400878ca, 0x400878cc)
(0x40100f42, 0x40100f98)
(0x400ccc4a, 0x400ccd2e)
(0x400e57c4, 0x400e6269)
(0x40008466, 0x40008778)
(0x400cd6f2, 0x400cd754)
(0x400f9a34, 0x400f9e10)
(0x4003e636, 0x4003e657)
(0x400d991c, 0x400d9acf)
(0x400d857c, 0x400d86fe)
(0x400b7a4c, 0x400b7a7e)
(0x40002388, 0x40002390)
(0x400e47a6, 0x400e47b8)
(0x40001c62, 0x40001d34)
(0x400d4c6e, 0x400d4ccd)
(0x400e3668, 0x400e36aa)
(0x400b8030, 0x400b80a4)
(0x4003f6c2, 0x4003f6ca)
(0x400dfd5a, 0x400e0903)
(0x400d1b16, 0x400d4234)
(0x40116ba4, 0x40116c8f)
(0x40069788, 0x400697a8)
(0x400d75ee, 0x400d7788)
